key,number,name,customer-type,coverage,badge-label,variants,badge-style.class-names.class-name,badge-style.background-color,badge-style.border-color,badge-style.color
46,46,Route 46 Transcona Express,regular,express,46,"[{'key': '46-1-D'}, {'key': '46-1-P'}, {'key': '46-0-K'}, {'key': '46-0-R'}]","['badge-label', 'express']",#eed700,#cab700,#000000
42,42,Route 42 Plessis Express,regular,express,42,"[{'key': '42-1-D'}, {'key': '42-0-L'}]","['badge-label', 'express']",#eed700,#cab700,#000000
48,48,Route 48 McMeans Express,regular,express,48,"[{'key': '48-1-D'}, {'key': '48-0-T'}]","['badge-label', 'express']",#eed700,#cab700,#000000
49,49,Route 49 Dugald,regular,regular,49,"[{'key': '49-0-T'}, {'key': '49-0-S'}, {'key': '49-1-D'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
41,41,Route 41 Henderson Express,regular,express,41,"[{'key': '41-0-G'}, {'key': '41-0-N'}, {'key': '41-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
43,43,Route 43 Munroe,regular,regular,43,"[{'key': '43-1-D'}, {'key': '43-0-K'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
44,44,Route 44 Grey,regular,regular,44,"[{'key': '44-1-*'}, {'key': '44-1-#'}, {'key': '44-1-M'}, {'key': '44-0-L'}, {'key': '44-1-L'}, {'key': '44-0-M'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
45,45,Route 45 Talbot,regular,regular,45,"[{'key': '45-1-D'}, {'key': '45-0-K'}, {'key': '45-0-M'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
47,47,Route 47 Transcona - Pembina,regular,regular,47,"[{'key': '47-0-K'}, {'key': '47-0-R'}, {'key': '47-1-U'}, {'key': '47-1-#'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
40,40,Route 40 All Seasons Express,regular,express,40,"[{'key': '40-1-D'}, {'key': '40-0-S'}]","['badge-label', 'express']",#eed700,#cab700,#000000
58,58,Route 58 Dakota Express,regular,express,58,"[{'key': '58-1-D'}, {'key': '58-0-A'}, {'key': '58-0-W'}]","['badge-label', 'express']",#eed700,#cab700,#000000
56,56,Route 56 St. Boniface,regular,regular,56,"[{'key': '56-1-D'}, {'key': '56-0-S'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
50,50,Route 50 Archibald,regular,regular,50,"[{'key': '50-1-D'}, {'key': '50-1-*'}, {'key': '50-1-W'}, {'key': '50-0-S'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
