name,count,Stop_Number
BUSwatch Electronic Sign,1,10580
Bench,2,10580
Heated Shelter,1,10580
BUSwatch Electronic Sign,1,10581
Bench,1,10581
Heated Shelter,1,10581
BUSwatch Electronic Sign,1,10582
Bench,2,10582
Heated Shelter,1,10582
BUSwatch Electronic Sign,1,10583
Bench,2,10583
Heated Shelter,1,10583
,,10584
BUSwatch Electronic Sign,1,10585
Bench,2,10585
Heated Shelter,1,10585
Bench,1,10586
Unheated Shelter,1,10586
,,10587
Bench,1,10588
Unheated Shelter,1,10588
Bench,1,10589
Bench,1,10590
Unheated Shelter,1,10590
Bench,1,10591
Unheated Shelter,1,10591
Bench,1,10592
Unheated Shelter,1,10592
Bench,2,10593
Unheated Shelter,1,10593
Bench,1,10594
Unheated Shelter,1,10594
Bench,1,10595
BUSwatch Electronic Sign,1,10596
Bench,1,10596
Heated Shelter,1,10596
Unheated Shelter,1,10598
BUSwatch Electronic Sign,1,10599
Bench,1,10599
Heated Shelter,1,10599
Unheated Shelter,1,10600
,,10602
Bench,1,10604
Bench,1,10607
Bench,1,10608
,,10609
BUSwatch Electronic Sign,1,10611
Bench,2,10611
Heated Shelter,1,10611
BUSwatch Electronic Sign,1,10612
Bench,2,10612
Heated Shelter,1,10612
BUSwatch Electronic Sign,1,10614
Bench,2,10614
Heated Shelter,1,10614
BUSwatch Electronic Sign,1,10615
Bench,2,10615
Heated Shelter,1,10615
Heated Shelter,1,10616
BUSwatch Electronic Sign,1,10617
Bench,2,10617
Heated Shelter,1,10617
BUSwatch Electronic Sign,1,10618
Heated Shelter,1,10618
BUSwatch Electronic Sign,1,10619
Bench,3,10619
Heated Shelter,1,10619
,,10620
,,10623
Bench,1,10624
Unheated Shelter,1,10624
BUSwatch Electronic Sign,1,10625
Bench,2,10625
Unheated Shelter,1,10625
Bench,1,10627
Bench,2,10628
Unheated Shelter,1,10628
BUSwatch Electronic Sign,1,10629
Bench,3,10629
Heated Shelter,1,10629
Bench,1,10630
Unheated Shelter,1,10630
Bench,1,10631
Unheated Shelter,1,10631
BUSwatch Electronic Sign,1,10632
Bench,1,10632
Unheated Shelter,1,10632
,,10633
Bench,1,10634
Unheated Shelter,1,10634
BUSwatch Electronic Sign,1,10635
Bench,2,10635
Heated Shelter,1,10635
BUSwatch Electronic Sign,1,10636
Bench,4,10636
Unheated Shelter,1,10636
Unheated Shelter,1,10637
BUSwatch Electronic Sign,1,10638
Bench,1,10638
Heated Shelter,1,10638
Unheated Shelter,1,10639
,,10640
BUSwatch Electronic Sign,1,10641
Bench,2,10641
Heated Shelter,1,10641
BUSwatch Electronic Sign,1,10642
Bench,2,10642
Unheated Shelter,1,10642
,,10643
Bench,1,10644
Heated Shelter,1,10644
Bench,1,10645
Bench,1,10646
Bench,1,10648
Bench,1,10649
Bench,1,10650
Unheated Shelter,1,10650
,,10651
Bench,2,10652
Unheated Shelter,1,10652
Bench,1,10653
,,10654
,,10655
,,10656
,,10657
,,10658
,,10664
,,10665
,,10666
,,10667
,,10668
,,10669
,,10670
Bench,1,10671
Bench,1,10672
Bench,1,10676
,,10685
Unheated Shelter,1,10686
Unheated Shelter,1,10687
Unheated Shelter,1,10695
,,10696
,,10699
Bench,1,10700
Bench,1,10701
Bench,1,10702
Unheated Shelter,1,10703
BUSwatch Electronic Sign,1,10704
Heated Shelter,1,10704
Unheated Shelter,1,10706
Heated Shelter,1,10707
,,10709
,,10710
Bench,1,10712
,,10713
Bench,1,10714
Bench,1,10715
Bench,1,10716
Bench,1,10719
Unheated Shelter,1,10719
Bench,1,10720
Unheated Shelter,1,10720
Bench,1,10721
,,10722
,,10723
,,10724
,,10725
,,10726
,,10727
,,10728
,,10729
Bench,1,10730
,,10732
,,10733
Bench,1,10735
Unheated Shelter,1,10735
,,10736
Bench,1,10737
Bench,1,10740
